"ID","Name","Location","AutoBegin","AutoResult","RoundNumber","WaitingRound","SlotConditions","OriginalConfigPath"
"5000024","猎人故事集","自宅:[2,12]","0","0","1","1","s1: type=item, is=2000215, 正在阅读=1 / s2: type=char, !动物=1, !怪物=1, any={""智慧>="":2,""is"":2000123}","data/config/rite/5000024.json"
"5000025","大盗传奇","自宅:[2,12]","0","0","1","1","s1: type=item, is=2000216, 正在阅读=1 / s2: type=char, !动物=1, !怪物=1, any={""智慧>="":2,""is"":2000123}","data/config/rite/5000025.json"
"5000026","斥候训练手册","自宅:[2,12]","0","0","1","1","s1: type=item, is=2000217, 正在阅读=1 / s2: type=char, !动物=1, !怪物=1","data/config/rite/5000026.json"
"5000027","捉贼人回忆录","自宅:[2,12]","0","0","1","1","s1: type=item, is=2000218, 正在阅读=1 / s2: type=char, !动物=1, !怪物=1","data/config/rite/5000027.json"
"5000028","狗皮","自宅:[2,12]","0","0","1","1","s1: type=item, is=2000219, 正在阅读=1 / s2: type=char, !动物=1, !怪物=1, any={""魔力>="":1,""is"":2000123}","data/config/rite/5000028.json"
"5000029","歌声与寂静","自宅:[2,12]","0","0","1","1","s1: type=item, is=2000220, 正在阅读=1 / s2: type=char, !动物=1, !怪物=1, any={""智慧>="":3,""is"":2000123}","data/config/rite/5000029.json"
"5000030","草药学入门","自宅:[2,12]","0","0","1","1","s1: type=item, is=2000221, 正在阅读=1 / s2: type=char, !动物=1, !怪物=1, any={""智慧>="":3,""is"":2000123}","data/config/rite/5000030.json"
"5000031","地图与边疆","自宅:[2,12]","0","0","1","1","s1: type=item, is=2000222, 正在阅读=1 / s2: type=char, !动物=1, !怪物=1","data/config/rite/5000031.json"
"5000032","游牧民的生活","自宅:[2,12]","0","0","1","1","s1: type=item, is=2000223, 正在阅读=1 / s2: type=char, !动物=1, !怪物=1","data/config/rite/5000032.json"
"5000033","动物与植物图鉴","自宅:[2,12]","0","0","1","1","s1: type=item, is=2000224, 正在阅读=1 / s2: type=char, !动物=1, !怪物=1, any={""智慧>="":2,""is"":2000123}","data/config/rite/5000033.json"
"5000034","西行记","自宅:[2,12]","0","0","1","1","s1: type=item, is=2000225, 正在阅读=1 / s2: type=char, !动物=1, !怪物=1, any={""智慧>="":2,""is"":2000123}","data/config/rite/5000034.json"
"5000035","沙漠之书","自宅:[2,12]","0","0","1","1","s1: type=item, is=2000226, 正在阅读=1 / s2: type=char, !动物=1, !怪物=1, any={""魔力>="":1,""is"":2000123}","data/config/rite/5000035.json"
"5000036","健身手册","自宅:[2,12]","0","0","1","1","s1: type=item, is=2000227, 正在阅读=1 / s2: type=char, !动物=1, !怪物=1","data/config/rite/5000036.json"
"5000037","士兵的训练","自宅:[2,12]","0","0","1","1","s1: type=item, is=2000228, 正在阅读=1 / s2: type=char, !动物=1, !怪物=1","data/config/rite/5000037.json"
"5000038","勇武故事集","自宅:[2,12]","0","0","1","1","s1: type=item, is=2000229, 正在阅读=1 / s2: type=char, !动物=1, !怪物=1, any={""智慧>="":2,""is"":2000123}","data/config/rite/5000038.json"
"5000039","古代人的呼吸","自宅:[2,12]","0","0","1","1","s1: type=item, is=2000230, 正在阅读=1 / s2: type=char, !动物=1, !怪物=1, any={""智慧>="":3,""is"":2000123}","data/config/rite/5000039.json"
"5000040","水银之血","自宅:[2,12]","0","0","1","1","s1: type=item, is=2000231, 正在阅读=1 / s2: type=char, !动物=1, !怪物=1, any={""魔力>="":1,""is"":2000123}","data/config/rite/5000040.json"
"5000041","贤者的话语","自宅:[2,12]","0","0","1","1","s1: type=item, is=2000232, 正在阅读=1 / s2: type=char, !动物=1, !怪物=1","data/config/rite/5000041.json"
"5000042","思辨集","自宅:[2,12]","0","0","1","1","s1: type=item, is=2000233, 正在阅读=1 / s2: type=char, !动物=1, !怪物=1, any={""智慧>="":3,""is"":2000123}","data/config/rite/5000042.json"
"5000043","方圆运算","自宅:[2,12]","0","0","1","1","s1: type=item, is=2000234, 正在阅读=1 / s2: type=char, !动物=1, !怪物=1, any={""智慧>="":3,""is"":2000123}","data/config/rite/5000043.json"
"5000044","洞开的思想","自宅:[2,12]","0","0","1","1","s1: type=item, is=2000235, 正在阅读=1 / s2: type=char, !动物=1, !怪物=1, any={""魔力>="":1,""is"":2000123}","data/config/rite/5000044.json"
"5000045","如何取悦你的爱人","自宅:[2,12]","0","0","1","1","s1: type=item, is=2000236, 正在阅读=1 / s2: type=char, !动物=1, !怪物=1","data/config/rite/5000045.json"
"5000046","四十七种优雅姿态","自宅:[2,12]","0","0","1","1","s1: type=item, is=2000237, 正在阅读=1 / s2: type=char, !动物=1, !怪物=1","data/config/rite/5000046.json"
"5000047","神秘的精油","自宅:[2,12]","0","0","1","1","s1: type=item, is=2000238, 正在阅读=1 / s2: type=char, !动物=1, !怪物=1","data/config/rite/5000047.json"
"5000048","面具的秘密","自宅:[2,12]","0","0","1","1","s1: type=item, is=2000239, 正在阅读=1 / s2: type=char, !动物=1, !怪物=1","data/config/rite/5000048.json"
"5000049","密教的修行","自宅:[2,12]","0","0","1","1","s1: type=item, is=2000240, 正在阅读=1 / s2: type=char, !动物=1, !怪物=1, any={""智慧>="":4,""is"":2000123}","data/config/rite/5000049.json"
"5000050","第五元素","自宅:[2,12]","0","0","1","1","s1: type=item, is=2000241, 正在阅读=1 / s2: type=char, !动物=1, !怪物=1, any={""智慧>="":4,""is"":2000123}","data/config/rite/5000050.json"
"5000051","耳语之书","自宅:[2,12]","0","0","1","1","s1: type=item, is=2000242, 正在阅读=1 / s2: type=char, !动物=1, !怪物=1, any={""智慧>="":3,""is"":2000123}","data/config/rite/5000051.json"
"5000052","蠕虫密卷","自宅:[2,12]","0","0","1","1","s1: type=item, is=2000243, 正在阅读=1 / s2: type=char, !动物=1, !怪物=1, any={""魔力>="":1,""is"":2000123}","data/config/rite/5000052.json"
"5000053","星空学徒","自宅:[2,12]","0","0","1","1","s1: type=item, is=2000244, 正在阅读=1 / s2: type=char, !动物=1, !怪物=1, any={""魔力>="":1,""is"":2000123}","data/config/rite/5000053.json"
"5000054","奥义书","自宅:[2,12]","0","0","1","1","s1: type=item, is=2000245, 正在阅读=1 / s2: type=char, !动物=1, !怪物=1, any={""all"":{""智慧>="":5,""魔力>="":3},""is"":2000123}","data/config/rite/5000054.json"
"5000055","房屋出租","自宅:[2,12]","0","0","0","7","s1: is=2000005 / s2: type=item, 空屋=1","data/config/rite/5000055.json"
"5000056","异国商人","自宅:[2,12]","0","0","0","1","s1: type=item, 部落遗物=1, !已拥有=1, rare==2 / s2: type=item, 部落遗物=1, !已拥有=1, rare==3 / s3: type=item, 部落遗物=1, !已拥有=1, rare==4 / s4: 租赁协议=1","data/config/rite/5000056.json"
"5000057","扩建挂毯长廊","奇珍:1","0","0","1","1","s1: is=2000302 / s2: type=item, cost.金币=7 / s3: type=sudan, 奢靡=1, rare<==3","data/config/rite/5000057.json"
"5000058","扩建鳄鱼池","奇珍:4","0","0","1","1","s1: is=2000304 / s2: type=item, cost.金币=5 / s3: type=sudan, 奢靡=1, rare<==2","data/config/rite/5000058.json"
"5000059","扩建黄金猫爬架","奇珍:3","0","0","1","1","s1: is=2000402 / s2: type=item, cost.金币=9 / s3: type=sudan, 奢靡=1, rare<==4","data/config/rite/5000059.json"
"5000060","扩建热气球升降场","奇珍:6","0","0","1","1","s1: is=2000388 / s2: type=item, cost.金币=9 / s3: type=sudan, 奢靡=1, rare<==4","data/config/rite/5000060.json"
"5000061","扩建天文台","奇珍:8","0","0","1","1","s1: is=2000380 / s2: type=item, cost.金币=5 / s3: type=sudan, 奢靡=1, rare<==2","data/config/rite/5000061.json"
"5000062","珍奇之家","自宅:[2,12]","1","0","1","0","s1: 纳入收藏=1, is=2000302 / s2: 纳入收藏=1, is=2000304 / s3: 纳入收藏=1, is=2000402 / s4: 纳入收藏=1, is=2000388","data/config/rite/5000062.json"
"5000063","召唤龙卷风","自宅:[2,12]","0","0","3","1","s1: type=item, is=2000318 / s2: type=char / s3: type=char / s4: type=item, cost.金币=7","data/config/rite/5000063.json"
"5000064","打碎提灯","自宅:[2,12]","0","0","1","1","s1: type=item, is=2000320 / s2: type=char, 主角=1","data/config/rite/5000064.json"
"5000065","学术专著","自宅:[2,12]","0","0","1","1","s1: type=item, is=2000538, 正在阅读=1 / s2: type=char, !动物=1, !怪物=1","data/config/rite/5000065.json"
"5000066","否认现实","自宅:[2,12]","0","0","1","1","s1: type=item, is=2001209, 正在阅读=1 / s2: type=char, !动物=1, !怪物=1, !is=2000460 / s3: type=item, is=2001208","data/config/rite/5000066.json"
"5000067","闯入后台","自宅:[2,12]","0","0","0","1","s1: type=item, is=2001209, 正在阅读=1 / s2: type=char, is=2000460 / s3: type=char, is=2000001 / s4: type=item, is=2001208","data/config/rite/5000067.json"
"5000100","珠宝设计","自宅:[2,12]","0","0","1","1","s1: type=char, is=2000019 / s2: type=item, cost.金币=5 / s3: type=item, any={""!可堆叠"":1,""cost.可堆叠"":1}, !部队=1","data/config/rite/5000100.json"
"5000101","裁缝店","自宅:[2,12]","0","0","2","1","s1: type=char, is=2000459 / s2: type=char, any={""!动物"":1,""is"":2000461}, !怪物=1, !妆扮=1 / s3: type=item, !金币=1, any={""all"":{""s2.主角"":1,""is"":2000680},""is"":2001306} / s4: type=item, cost.金币=5","data/config/rite/5000101.json"
"5000102","舞乐之宴","自宅:[2,12]","0","0","1","1","s1: type=char, is=2000129 / s2: type=sudan, 奢靡=1, f:rare-s1.rare<==0 / s3: type=item, any={""all"":{""s1.rare="":4,""cost.金币"":15}}","data/config/rite/5000102.json"
"5000103","阿图娜尔的请求","自宅:[2,12]","0","0","1","7","s1: type=char, is=2000129 / s2: type=item, 装备=1, rare==3 / s3: type=item, 装备=1, rare==2 / s4: type=item, cost.金币=10","data/config/rite/5000103.json"
"5000104","阿图娜尔的请求","自宅:[2,12]","0","0","1","7","s1: type=char, is=2000129 / s2: type=item, 装备=1, rare==4 / s3: type=item, 装备=1, rare==4 / s4: type=item, cost.金币=15","data/config/rite/5000104.json"
"5000105","爱情诗","自宅:[2,12]","0","0","1","3","s1: type=char, is=2000460 / s2: type=item, cost.消耗品==1, !金币=1 / s3: type=item, cost.消耗品==1, !金币=1 / s4: type=item, cost.消耗品==1, !金币=1","data/config/rite/5000105.json"
"5000106","史诗","自宅:[2,12]","0","0","1","3","s1: type=char, is=2000460 / s2: type=item, cost.消耗品==1, !金币=1 / s3: type=item, cost.消耗品==1, !金币=1 / s4: type=item, cost.消耗品==1, !金币=1","data/config/rite/5000106.json"
"5000107","讽刺诗","自宅:[2,12]","0","0","1","3","s1: type=char, is=2000460 / s2: type=item, cost.消耗品==1, !金币=1 / s3: type=item, cost.消耗品==1, !金币=1 / s4: type=item, cost.消耗品==1, !金币=1","data/config/rite/5000107.json"
"5000108","预言诗","自宅:[2,12]","0","0","1","3","s1: type=char, is=2000460 / s2: type=item, cost.消耗品==1, !金币=1 / s3: type=item, cost.消耗品==1, !金币=1 / s4: type=item, cost.消耗品==1, !金币=1","data/config/rite/5000108.json"
"5000109","赃物商人","黑街:[1,9]","0","0","1","0","s1: type=item, is=2000162 / s2: type=item, cost.金币=5","data/config/rite/5000109.json"
"5000110","有趣的情诗","自宅:[2,12]","0","0","1","1","s1: type=item, 正在阅读=1, is=2000467 / s2: type=char, !动物=1, !怪物=1","data/config/rite/5000110.json"
"5000111","很棒的情诗","自宅:[2,12]","0","0","1","1","s1: type=item, 正在阅读=1, is=2000468 / s2: type=char, !动物=1, !怪物=1","data/config/rite/5000111.json"
"5000112","不灭的情诗","自宅:[2,12]","0","0","1","1","s1: type=item, 正在阅读=1, is=2000470 / s2: type=char, !动物=1, !怪物=1","data/config/rite/5000112.json"
"5000113","伟大的爱情","自宅:[2,12]","0","0","1","1","s1: type=item, 正在阅读=1, is=2000472 / s2: type=char, !动物=1, !怪物=1","data/config/rite/5000113.json"
"5000114","有趣的史诗","自宅:[2,12]","0","0","1","1","s1: type=item, 正在阅读=1, is=2000473 / s2: type=char, !动物=1, !怪物=1","data/config/rite/5000114.json"
"5000115","不凡的史诗","自宅:[2,12]","0","0","1","1","s1: type=item, 正在阅读=1, is=2000474 / s2: type=char, !动物=1, !怪物=1","data/config/rite/5000115.json"
"5000116","追忆过去荣光","自宅:[2,12]","0","0","1","1","s1: type=item, 正在阅读=1, is=2000475 / s2: type=char, !贵族=1, !动物=1, !怪物=1","data/config/rite/5000116.json"
"5000117","伟大的史诗","自宅:[2,12]","0","0","1","1","s1: type=item, 正在阅读=1, is=2000476 / s2: type=char, !动物=1, !怪物=1","data/config/rite/5000117.json"
"5000118","历史洪流","自宅:[2,12]","0","0","1","1","s1: type=item, 正在阅读=1, is=2000478 / s2: type=char, !动物=1, !怪物=1","data/config/rite/5000118.json"
"5000119","谐音谩骂","自宅:[2,12]","0","0","1","1","s1: type=item, 正在阅读=1, is=2000479 / s2: type=char, !动物=1, !怪物=1","data/config/rite/5000119.json"
"5000120","精巧的讽刺","自宅:[2,12]","0","0","1","1","s1: type=item, 正在阅读=1, is=2000480 / s2: type=char, !动物=1, !怪物=1","data/config/rite/5000120.json"
"5000121","挑战歌","自宅:[2,12]","0","0","1","1","s1: type=item, 正在阅读=1, is=2000481 / s2: type=char, !动物=1, !怪物=1","data/config/rite/5000121.json"
"5000122","惊人的嘲讽","自宅:[2,12]","0","0","1","1","s1: type=item, 正在阅读=1, is=2000483 / s2: type=char, !动物=1, !怪物=1","data/config/rite/5000122.json"
"5000123","魔幻诗歌","自宅:[2,12]","0","0","1","1","s1: type=item, 正在阅读=1, is=2000484 / s2: type=char, !动物=1, !怪物=1","data/config/rite/5000123.json"
"5000124","诡异的幻听","自宅:[2,12]","0","0","1","1","s1: type=item, 正在阅读=1, is=2000485 / s2: type=char, !动物=1, !怪物=1","data/config/rite/5000124.json"
"5000125","恐怖的回音","自宅:[2,12]","0","0","1","1","s1: type=item, 正在阅读=1, is=2000486 / s2: type=char, !动物=1, !怪物=1","data/config/rite/5000125.json"
"5000126","黑暗根源","自宅:[2,12]","0","0","1","1","s1: type=item, 正在阅读=1, is=2000487 / s2: type=char, !动物=1, !怪物=1","data/config/rite/5000126.json"
"5000127","伟大的黑暗","自宅:[2,12]","0","0","1","1","s1: type=item, 正在阅读=1, is=2000488 / s2: type=char, !动物=1, !怪物=1","data/config/rite/5000127.json"
"5000128","小圆的日记","自宅:[2,12]","0","0","1","1","s1: type=item, 正在阅读=1, is=2000576 / s2: type=char, !动物=1, !怪物=1","data/config/rite/5000128.json"
"5000129","做好准备","自宅:[2,12]","0","0","0","0","s1: type=char, 已装备=1, !is=2000461","data/config/rite/5000129.json"
"5000130","蠢妓女和活恶棍","自宅:[2,12]","0","0","1","1","s1: type=item, is=2000547, 正在阅读=1 / s2: type=char, !动物=1, !怪物=1","data/config/rite/5000130.json"
"5000131","天文台","奇珍:8","1","0","7","0","s1: is=2000380","data/config/rite/5000131.json"
"5000132","黄金鸟屋","奇珍:2","0","0","1","1","s1: is=2000540 / s2: type=item, cost.金币=5","data/config/rite/5000132.json"
"5000133","黄金鸟屋","奇珍:2","1","0","7","0","s1: is=2000540 / s2: type=char","data/config/rite/5000133.json"
"5000134","鳄鱼池","奇珍:4","0","0","7","0","s1: is=2000304 / s2: type=item, cost.罪证==1","data/config/rite/5000134.json"
"5000135","热气球升降场","奇珍:6","0","0","7","0","s1: is=2000388 / s2: type=char, !动物=1, !怪物=1","data/config/rite/5000135.json"
"5000136","黄金猫爬架","奇珍:3","0","0","7","0","s1: is=2000402 / s2: any={""all"":{""type"":""item"",""cost.金币"":3},""is"":2000461}","data/config/rite/5000136.json"
"5000137","挂毯长廊","奇珍:1","1","0","7","0","s1: is=2000302","data/config/rite/5000137.json"
"5000138","被供奉的木雕","奇珍:7","0","0","1","1","s1: is=2000601 / s2: type=item, cost.金币=7 / s3: type=sudan, 奢靡=1, f:rare-s1.rare<==0","data/config/rite/5000138.json"
"5000139","被供奉的木雕","奇珍:7","1","0","7","0","s1: is=2000601","data/config/rite/5000139.json"
"5000140","群星的研究","神殿区:[2,10]","0","0","3","1","s1: 天象=1, 正在阅读=1 / s2: type=char, 智慧>==5 / s3: type=char, 智慧>==5","data/config/rite/5000140.json"
"5000141","承阳武士","奇珍:5","1","0","7","0","s1: type=item, is=2000959","data/config/rite/5000141.json"
"5000142","老花园","自宅:[2,12]","0","0","1","1","s1: type=item, is=2000797, 正在阅读=1 / s2: type=char, !动物=1, !怪物=1, any={""智慧>="":3,""is"":2000123}","data/config/rite/5000142.json"
"5000143","列王纪","自宅:[2,12]","0","0","1","1","s1: type=item, is=2000798, 正在阅读=1 / s2: type=char, !动物=1, !怪物=1","data/config/rite/5000143.json"
"5000144","等待太久","自宅:[2,12]","0","0","1","1","s1: type=item, is=2000799, 正在阅读=1 / s2: type=char, !动物=1, !怪物=1","data/config/rite/5000144.json"
"5000145","不朽者之吻","自宅:[2,12]","0","0","1","1","s1: type=item, is=2000800, 正在阅读=1 / s2: type=char, !动物=1, !怪物=1, any={""智慧>="":4,""is"":2000123}","data/config/rite/5000145.json"
"5000146","雨林！雨林！","自宅:[2,12]","0","0","1","1","s1: type=item, is=2000801, 正在阅读=1 / s2: type=char, !动物=1, !怪物=1","data/config/rite/5000146.json"
"5000147","女主人的金拖鞋","自宅:[2,12]","0","0","1","1","s1: type=item, is=2000802, 正在阅读=1 / s2: type=char, !动物=1, !怪物=1","data/config/rite/5000147.json"
"5000148","荒野集","自宅:[2,12]","0","0","1","1","s1: type=item, is=2000803, 正在阅读=1 / s2: type=char, !动物=1, !怪物=1","data/config/rite/5000148.json"
"5000149","白鼬的宫廷","自宅:[2,12]","0","0","1","1","s1: type=item, is=2000804, 正在阅读=1 / s2: type=char, !动物=1, !怪物=1","data/config/rite/5000149.json"
"5000150","弹球游戏","自宅:[2,12]","0","0","1","1","s1: type=item, is=2000805, 正在阅读=1 / s2: type=char, !动物=1, !怪物=1","data/config/rite/5000150.json"
"5000151","哲百集","自宅:[2,12]","0","0","1","1","s1: type=item, is=2000806, 正在阅读=1 / s2: type=char, !动物=1, !怪物=1, any={""智慧>="":5,""is"":2000123}","data/config/rite/5000151.json"
"5000152","不要凝视群星","自宅:[2,12]","0","0","1","1","s1: type=item, is=2000807, 正在阅读=1 / s2: type=char, !动物=1, !怪物=1","data/config/rite/5000152.json"
"5000153","蜘蛛的网","自宅:[2,12]","0","0","1","1","s1: type=item, is=2000808, 正在阅读=1 / s2: type=char, is=2000123","data/config/rite/5000153.json"
"5000154","维持家业","自宅:[2,12]","1","0","1","0","s1: type=item, is=2000850, cost.信誉=[1,3] / s2: type=item, cost.金币=5","data/config/rite/5000154.json"
"5000155","石中火","自宅:[2,12]","0","0","1","1","s1: type=item, is=2000856, 正在阅读=1 / s2: type=char, is=2000123","data/config/rite/5000155.json"
"5000156","曲直迷思","自宅:[2,12]","0","0","1","1","s1: type=item, is=2000857, 正在阅读=1 / s2: type=char, is=2000123","data/config/rite/5000156.json"
"5000157","黄沙之战","自宅:[2,12]","0","0","1","1","s1: type=item, is=2000855, 正在阅读=1 / s2: type=char, is=2000123","data/config/rite/5000157.json"
"5000158","逆转时光","自宅:[2,12]","0","0","0","1","s1: type=item, is=2000319 / s2: type=sudan","data/config/rite/5000158.json"
"5000159","梦中世界","自宅:[2,12]","0","0","1","1","s1: type=item, is=2001060, 正在阅读=1 / s2: type=char, !动物=1, !怪物=1, any={""智慧>="":5,""is"":2000123}","data/config/rite/5000159.json"
"5000160","君王的胸襟","自宅:[2,12]","0","0","1","1","s1: type=item, is=2001146 / s2: type=char, !is=2000461","data/config/rite/5000160.json"
"5000161","学会藏书室","自宅:[2,12]","0","0","5","1","s1: type=item, 馆藏=1 / s2: type=item, 馆藏=1 / s3: type=item, 馆藏=1 / s4: type=item, cost.金币=3, s1=1","data/config/rite/5000161.json"
"5000162","贝姬夫人不见了","自宅:[2,12]","1","0","3","0","s1: is=2000461","data/config/rite/5000162.json"
"5000163","哲学の力量","自宅:[2,12]","1","0","0","0","s1: 主角=1, 黑暗幻想=1","data/config/rite/5000163.json"
"5000164","天牛之血","自宅:[2,12]","0","0","1","1","s1: type=item, 正在阅读=1, 读物=1, is=2001170 / s2: type=char, !动物=1, !怪物=1","data/config/rite/5000164.json"
"5000165","群山深处","野外:[9,14]","0","0","7","7","s1: type=char, 生存=5 / s2: type=char, 体魄=5 / s3: type=char, 智慧=5 / s4: type=char, 魔力=5, 主角=1","data/config/rite/5000165.json"
"5000166","石之天平的研究","上城区:[1,6]","0","0","5","1","s1: is=2001154 / s2: any={""is"":2000022}, !s3=1 / s3: any={""is"":2000022}, !s2=1 / s4: type=item, is=2000986, cost.可堆叠==1","data/config/rite/5000166.json"
"5000167","复活死者","野外:[1,14]","0","0","1","1","s1: 墓碑=1 / s2: is=2001155 / s3: is=2000001, 主角=1","data/config/rite/5000167.json"
"5000168","永生的允诺","野外:[1,14]","0","0","1","1","s1: type=char, 主角=1 / s2: is=2001156","data/config/rite/5000168.json"
"5000201","驯服仪式","自宅:[2,12]","0","0","1","1","s1: type=item, is=2001149 / s2: type=char","data/config/rite/5000201.json"
"5000202","诅咒解除","自宅:[2,12]","1","0","1","0","s1: 被驯服的人=1","data/config/rite/5000202.json"
"5000203","以凡人的方式","野外:[1,14]","0","0","1","0","s1: type=item, is=2000281 / s2: type=char, is=2000352 / s3: type=item, is=2000986, cost.可堆叠==1 / s4: type=char, 主角=1","data/config/rite/5000203.json"
"5000204","忠贞不渝","自宅:[2,12]","0","0","1","1","s1: type=item, 正在阅读=1, 读物=1, is=2001150 / s2: type=char, !动物=1, !怪物=1","data/config/rite/5000204.json"
"5000205","荆棘与塔","野外:[9,14]","0","0","3","1","s1: type=char, any={""生存>="":4,""智慧>="":4} / s2: type=char, any={""隐匿>="":4,""体魄>="":4} / s3: type=char, any={""智慧>="":4,""魔力>="":4} / s4: type=char, any={""魅力>="":4,""社交>="":4}","data/config/rite/5000205.json"
"5000206","异色花园","自宅:[2,12]","1","0","1","0","s1: type=char, !追随者=1, !is=2000024, !食客=1, !主角=1 / s2: type=char, 主角=1 / s3: type=sudan, 杀戮=1, f:rare-s1.rare<==0 / s4: type=item, is=2001151","data/config/rite/5000206.json"
"5000301","诡异的镜子","自宅:[2,12]","0","0","1","0","s1: type=char, 小筹=1 / s2: type=char, !主角=1, any={""男性"":1,""女性"":1}","data/config/rite/5000301.json"
"5000302","映像","自宅:[2,12]","0","0","1","7","s1: type=char, 小筹=1, 锁定小筹=1 / s2: type=char","data/config/rite/5000302.json"
"5000303","你的名字","自宅:[2,12]","1","0","1","0","s1: type=char, 小筹=1, 锁定小筹=1 / s2: type=char, 主角=1 / s3: type=item, cost.消耗品==1, !金币=1","data/config/rite/5000303.json"
"5000304","见男人","自宅:[2,12]","0","0","1","0","s1: type=char, 小筹=1 / s2: type=char, 男性=1, 激情=1","data/config/rite/5000304.json"
"5000305","见女人","自宅:[2,12]","0","0","1","0","s1: type=char, 小筹=1 / s2: type=char, 女性=1, 激情=1","data/config/rite/5000305.json"
"5000306","见贵族","自宅:[2,12]","0","0","1","0","s1: type=char, 小筹=1 / s2: type=char, 贵族=1, 激情=1, any={""妻子"":1,""is"":2000352,""法拉杰"":1}","data/config/rite/5000306.json"
